Date;SDofDomBanks;OtherSD;TotalSD;M1Switzerland;SNBFXinv;SPIEX;SMI;SMIMid;Gov10yr;Gov3yr;Libor3M_CHF;OvernightLendingRate;CHFUSD;CHFEUR
2014-05-30;304040.2;63332;367372.2;567210;447444.8;201.4;8674.52;1702.23;0.711;-0.025;0.012;-0.09;1.1169;0.8194
2014-06-06;302857.5;63985.4;366842.9;568846;451952.5;203.05;8659.69;1720.16;0.694;-0.066;0.012;-0.05;1.1191;0.8203
2014-06-13;300786.6;66213.6;367000.2;568846;451952.5;202.14;8653.76;1706.68;0.739;-0.055;0.014;-0.08;1.111;0.8206
2014-06-20;301436;66157.4;367593.4;568846;451952.5;203.08;8701.61;1717.46;0.705;-0.029;0.009;-0.08;1.1175;0.8215
2014-06-27;301092.2;66565.8;367658;568846;451952.5;200.51;8562.11;1693.81;0.646;0;0.008;-0.08;1.1225;0.8224
2014-07-04;301601;65570.3;367171.3;563697;457215.9;203.69;8678.22;1725.52;0.641;0.008;0.01;-0.07;1.1184;0.8226
2014-07-11;306258;61221.8;367479.8;563697;457215.9;199.7;8468.52;1687.37;0.591;-0.04;0.012;-0.07;1.1208;0.8238
2014-07-18;308476.9;59410.4;367887.3;563697;457215.9;201.96;8511.43;1720.13;0.54;-0.054;0.011;-0.05;1.1131;0.823
2014-07-25;310326.5;57680.6;368007.1;563697;457215.9;203.04;8571.48;1734.21;0.504;-0.052;0.016;0;1.1052;0.8229
2014-08-01;309997.5;57516.7;367514.2;566309;466618.1;199.8;8410.27;1702.24;0.508;-0.027;0.018;0;1.1039;0.822
2014-08-08;309522.2;57907.5;367429.7;566309;466618.1;193.93;8274.65;1658.46;0.442;-0.024;0.02;-0.02;1.1045;0.8235
2014-08-15;313327.9;54536.5;367864.4;566309;466618.1;198.67;8366.73;1702.11;0.439;-0.008;0.022;0;1.1079;0.8268
2014-08-22;313949;54361.5;368310.5;566309;466618.1;202.7;8554.16;1738.35;0.494;-0.006;0.022;0;1.0946;0.8263
2014-08-29;314291.3;53834.3;368125.6;566309;466618.1;203.89;8658.97;1747.83;0.426;-0.026;0.018;0;1.089;0.8291
2014-09-05;313189.3;54706;367895.3;569187;471385.2;204.27;8788.77;1754.25;0.47;-0.049;0.009;0.005;1.074;0.8292
2014-09-12;311318.6;56844.2;368162.8;569187;471385.2;203.56;8795.93;1746.42;0.524;-0.047;0.005;-0.05;1.0714;0.8266
2014-09-19;310955.2;57413.3;368368.5;569187;471385.2;203.99;8840.17;1751.49;0.496;-0.055;0.006;0;1.0628;0.8284
2014-09-26;310085;58170.6;368255.6;569187;471385.2;200.74;8774.36;1726.39;0.467;-0.042;0.006;-0.05;1.0511;0.8287
2014-10-03;310398.7;57105.7;367504.4;565481;471452.3;198.24;8683.53;1703.14;0.466;-0.029;0.003;-0.05;1.0337;0.8261
2014-10-10;312996.7;54084.8;367081.5;565481;471452.3;189.11;8374.59;1620.44;0.434;-0.032;0.01;-0.025;1.0449;0.8274
2014-10-17;314003.8;53137.2;367141;565481;471452.3;188.81;8250.1;1611.34;0.451;-0.044;0.007;-0.025;1.0566;0.828
2014-10-24;312519.4;54970.7;367490.1;565481;471452.3;194.63;8532.09;1661.72;0.472;-0.053;0.011;0.02;1.0504;0.8291
2014-10-31;310347.3;57068.6;367415.9;570091;475585.7;199.42;8837.78;1709.57;0.455;-0.065;0.015;-0.025;1.0388;0.8295
2014-11-07;311382.7;55874.3;367257;570091;475585.7;199.72;8816.92;1713.67;0.431;-0.079;0.009;-0.025;1.035;0.8309
2014-11-14;315658.1;52493.9;368152;570091;475585.7;200.94;8915.31;1717.67;0.378;-0.161;0.004;-0.025;1.0426;0.8325
2014-11-21;320698;50110.2;370808.2;570091;475585.7;204.06;9080.55;1749.61;0.368;-0.178;0.003;-0.025;1.0313;0.8322
2014-11-28;319103.4;51499.4;370602.8;570091;475585.7;205.23;9150.46;1757.19;0.299;-0.17;0.001;-0.045;1.0354;0.8316
2014-12-05;314699.5;54501.7;369201.2;577389;475727.8;207.81;9212.85;1785.14;0.297;-0.148;0.003;-0.025;1.0219;0.8316
2014-12-12;313018.1;55604.3;368622.4;577389;475727.8;200.21;8895.35;1699.17;0.243;-0.162;0.007;-0.005;1.0376;0.8326
2014-12-19;316131.4;58506.1;374637.5;577389;475727.8;204.65;8976.24;1746.04;0.24;-0.195;-0.047;-0.005;1.0162;0.8308
2014-12-26;326891.5;59924.2;386815.7;577389;475727.8;206.12;9021.67;1758.2;0.239;-0.228;-0.061;0;1.0124;0.8313
2015-01-02;327697.8;58835;386532.8;567209;510062.4;205.79;8983.37;1751.09;0.342;-0.249;-0.063;0.1;0.9984;0.8317
