Date;SNBSD;SPIEX;SMI;SMI Mid;CHF USD;CHF EUR
2006-07-21;61.98885421;151.1926606;130.7222538;147.1269485;1.2371;1.5695
2006-07-28;61.34319636;154.7196738;136.3566946;151.7231932;1.23175;1.57235
2006-08-04;68.79035362;156.0244648;135.404866;152.6954417;1.2215;1.5751
2006-08-11;71.00383404;155.2293578;134.8478739;151.1810345;1.23685;1.57895
2006-08-18;70.75725831;157.675841;138.7191926;154.4196977;1.2328;1.5805
2006-08-25;68.86874474;158.5015291;139.0335517;154.8846245;1.24035;1.58105
2006-09-01;67.58455552;162.54842;140.5195505;159.4365848;1.23375;1.57965
2006-09-08;71.6665954;161.9062181;140.1410155;158.5047237;1.24895;1.58225
2006-09-15;69.44028734;163.8634047;141.2088412;160.5415683;1.25845;1.59205
2006-09-22;65.12877525;165.0152905;142.3278017;162.2841285;1.23455;1.58055
2006-09-29;81.9358333;167.7675841;144.5830538;164.6770194;1.25395;1.58845
2006-10-06;79.21494848;168.5015291;146.2188537;165.0981342;1.26135;1.5876
2006-10-13;71.78489474;171.2945973;148.4478519;168.5790033;1.27545;1.59365
2006-10-20;55.36836704;173.1702345;148.3085181;172.1926075;1.25995;1.58795
2006-10-27;64.81521073;175.4740061;149.2069811;174.9165092;1.25005;1.59055
2006-11-03;60.79730905;176.9215087;149.2603467;176.7257912;1.25505;1.59435
2006-11-10;75.3638061;179.459735;149.9009048;180.1061644;1.23875;1.59295
2006-11-17;90.33793703;181.4373089;150.0724982;183.0021256;1.24405;1.59585
2006-11-24;76.81475464;180.5708461;148.2827791;182.4844119;1.20995;1.58415
2006-12-01;85.6544234;180.3975535;144.4873047;181.9479216;1.19205;1.58965
2006-12-08;69.05830875;184.7706422;146.5556915;186.9988191;1.1935;1.58945
2006-12-15;46.59141118;187.9816514;150.7772323;190.9352858;1.2211;1.59835
2006-12-22;70.97675347;190.7747197;149.7438969;194.9518186;1.21825;1.60265
2006-12-29;95.72269494;192.7522936;150.7574991;196.7333491;1.2207;1.60965
2007-01-05;102.7194595;194.4036697;152.7210423;197.7905054;1.23835;1.60905
2007-01-12;52.26835421;199.4495413;154.9970572;202.8874587;1.247;1.6127
2007-01-19;52.14720429;203.4148828;157.095816;208.2716108;1.25;1.618
2007-01-26;82.45464004;204.4036697;155.1393081;208.0544402;1.2536;1.6177
2007-02-02;75.62178418;211.0805301;158.9038957;216.2417336;1.24625;1.61695
2007-02-09;73.92996109;213.2415902;159.445616;218.4448512;1.24965;1.62425
2007-02-16;74.2449509;214.4750255;160.2054316;218.6038026;1.23585;1.62175
2007-02-23;85.98651673;211.6004077;158.8620269;213.5461738;1.2325;1.62275
2007-03-02;79.38883425;201.1926606;150.9800557;201.3802551;1.21985;1.60675
2007-03-09;75.32817377;206.3608563;153.2993121;206.9802787;1.2329;1.61675
2007-03-16;72.35928792;202.9663609;149.5887764;201.9423713;1.208;1.60745
2007-03-23;95.36067046;211.2640163;155.9758259;211.0271611;1.21715;1.619
2007-03-30;82.8850786;211.5800204;154.0392228;209.8643127;1.2208;1.6251
2007-04-06;68.35991505;216.8195719;156.1342066;214.365966;1.21315;1.63005
2007-04-13;62.20834937;218.6340469;157.4794989;215.2475201;1.21565;1.64275
2007-04-20;67.38786505;221.304791;161.2935054;219.2060699;1.2085;1.64275
2007-04-27;63.16757173;221.8960245;161.6392661;220.0975437;1.2044;1.64475
2007-05-04;80.27821724;223.088685;162.2496238;221.5057865;1.2109;1.64535
2007-05-11;76.24463733;222.4260958;161.4393598;221.7672414;1.21795;1.64695
2007-05-18;81.10346204;225.3618756;161.7214593;224.5491261;1.22705;1.65585
2007-05-25;81.27449723;225.3414883;160.9776019;224.1678082;1.22715;1.6513
2007-06-01;81.20608315;227.9001019;163.553562;228.0470005;1.23095;1.65175
2007-06-08;64.4204045;221.7023445;157.0198002;219.7607463;1.2338;1.6483
2007-06-15;38.54563076;227.2579001;161.2246964;226.7050071;1.2427;1.66075
2007-06-22;57.15711008;226.9622834;157.2909177;227.0543222;1.23345;1.65635
2007-06-29;112.6922364;226.17737;158.0265386;225.7472839;1.2256;1.6552
2007-07-06;72.96076168;229.969419;158.9634386;231.1215163;1.21785;1.6601
2007-07-13;70.62043015;231.1416922;158.9253449;232.472957;1.2034;1.65765
2007-07-20;72.17685039;229.9898063;156.2436832;231.3526216;1.2003;1.66055
2007-07-27;75.01033338;219.0417941;149.3818348;217.3166037;1.20835;1.65005
2007-08-03;67.66152136;220.4587156;148.7960149;220.9646906;1.1949;1.64485
2007-08-10;114.3484272;212.0183486;146.9786692;210.8986774;1.1956;1.63545
2007-08-17;58.78479497;201.3251784;146.5927557;198.7224846;1.20295;1.62585
2007-08-24;85.62021636;211.529052;150.5886512;209.8756495;1.2004;1.6372
2007-08-31;89.97733784;213.7614679;152.3999911;211.4931507;1.2083;1.64725
2007-09-07;74.78228646;209.6330275;148.8766638;205.6216344;1.18935;1.63695
2007-09-14;73.53658015;206.5443425;150.5316821;201.426547;1.1898;1.65005
2007-09-21;71.6238366;207.7370031;152.6724814;200.9158007;1.1721;1.6519
2007-09-28;90.07853366;211.2640163;153.2926199;205.2975909;1.1682;1.66135
2007-10-05;79.91334217;216.7482161;155.7270155;211.5466462;1.1771;1.6647
2007-10-12;59.28222232;220.733945;157.8226857;215.0610534;1.1843;1.67835
2007-10-19;68.84166417;218.5117227;153.3564527;212.0037789;1.17225;1.6705
2007-10-26;58.36575875;218.1039755;153.7977909;211.1049835;1.1631;1.67335
2007-11-02;74.53571072;217.0336391;150.4941032;209.9467407;1.1543;1.6716
2007-11-09;76.52969598;211.6411825;144.432738;204.6479688;1.1212;1.64575
2007-11-16;87.88928322;207.1355759;145.4906113;200.4534719;1.1184;1.63645
2007-11-23;77.23521615;195.5759429;143.6550767;186.8654936;1.1027;1.63205
2007-11-30;78.04193213;204.7604485;151.4888301;196.639112;1.12905;1.6573
2007-12-07;70.47219966;207.5229358;150.9961855;200.2475201;1.12965;1.6554
2007-12-14;73.76177649;206.5137615;148.8720308;199.2509447;1.153;1.66445
2007-12-21;75.46500192;203.2212029;145.3116394;194.7550779;1.15635;1.66185
